标题,招标公司,中标公司,金额,公告日期,地区
上海12345城市运行市民感知平台2026年运维的中标（成交）结果公告,上海市信访,上海理想信息产业（集团）有限公司,168.29万,2026-06-25,上海 上海
临沂市12345政务服务热线受理中心热线印刷项目1成交公告,临沂市12345政务服务热线受理中心,山东利信文化传媒有限公司,1.48万,2026-06-25,山东 临沂
德州市陵城区12345市民热线服务中心本级市民热线2026年印刷服务项目成交公告,德州市陵城区12345市民热线服务中心,德州市陵城区锦添广告有限公司,0.06万,2026-06-25,山东 德州
成都市大数据中心（成都市12345热线服务中心）2026年成都市政务短信邮箱等应用系统商用密码应用安全性评估服务项目竞争性磋商成交公告,成都市大数据中心,成都市信息系统与软件评测中心,18万,2026-06-24,四川 成都
【2026年中国电信厦门分公司12345热线应急话务服务（ICT2023ZQ381）】询比结果公示,中国电信股份有限公司厦门分公司,厦门纵横集团通信服务有限公司,-,2026-06-24,福建 厦门
黔东南州12345政务服务便民热线平台建设项目中标（成交）公告,黔东南苗族侗族首治州人民政府政务服务中心,黔东南州集美大数据发展有限责任公司,175万,2026-06-24,贵州 黔东南
2026-2028年12345热线运营服务外包中标(成交)结果公告,吉林省长白山保护开发区管理委员会政务服务和数字化建设管理局,中国电信集团有限公司延边分公司,255万,2026-06-24,吉林 白山
唐山市丰润区人民政府办公室丰润区12345政务服务便民热线外包项目竞争性磋商中标公告,唐山市丰润区人民政府,"唐山市丰润区人才发展集团有限公司, 唐山市丰润区人才发展服务有限公司",86万,2026-06-23,河北 唐山
2026-2028年汕头市12345服务热线业务外包服务项目中标结果公示,-,广东邮电人才服务有限公司,-,2026-06-23,广东 汕头
常州市便民服务中心2026年度12345政务服务便民热线效能提升【2026年度12345政务服务便民热线效能提升】单一来源采购公示,常州市便民服务中心,中国电信股份有限公司常州分公司,219.87万,2026-06-23,江苏 常州
德州市陵城区12345市民热线服务中心本级市民热线2026年公车维修服务采购项目成交公告,德州市陵城区12345市民热线服务中心,德州金鑫汽车服务有限公司,0.56万,2026-06-23,山东 德州
黄冈市数融智通科技发展有限公司红安县12345政务服务热线信息平台技术服务项目成交候选供应商公示,黄冈市数融智通科技发展有限公司,湖北众维信息科技有限公司,26.5万,2026-06-23,湖北 黄冈
南通市海门区包场镇包新街社区居民委员会采购2026年12345民生诉求处置项目（二次）中标结果公告,江苏省南通市海门区包场镇包新街社区居民委员会,海门区明添劳务服务部,6.55万,2026-06-22,江苏 南通
2026年财政重点支出绩效评价服务结果公告,临汾市财政局,"山西万方建设工程项目管理咨询有限公司, 山西伍纬绩效管理咨询有限公司, 山西信誉会计师事务所有限公司, 山西正达信会计师事务所有限公司, 山西正达信资产评估有限公司, 山西诚泽资产评估有限公司, 山西科友财正绩效管理咨询有限公司, 临汾博新资产评估有限责任公司, 山西恒升致远会计师事务所, 山西嘉禾信会计师事务所有限公司, 山西辉义源会计师事务所有限公司, 临汾宇浩会计师事务所, 山西信捷绩效管理咨询有限公司, 山西金迪项目管理研究院有限公司, 山西中岳会计师事务所有限公司, 山西平阳税务师事务所有限公司, 信鼎誉合（山西）资产房地产评估有限公司, 山西闻达会计师事务所有限公司, 山西合创管理咨询有限公司, 绩效正信咨询（北京）有限公司, 山西恒科财正绩效管理咨询有限公司, 山西恒信资产评估事务所, 河南省忠正绩效评价咨询有限公司, 山西鼎鑫项目管理有限公司, 山西隆聚源绩效科技有限公司, 山西众诚资产评估有限公司, 山西诚信会计师事务所有限公司, 山西信朗商务服务有限公司, 山西首拓基础设施项目管理有限公司, 山西中和诚工程咨询有限公司, 山西勤信德会计师事务所, 山西中致同资产评估有限公司, 山西泰诚会计师事务所, 山西胜桥绩效管理咨询有限公司, 山西星诚绩效管理咨询有限责任公司, 山西铭凯项目管理有限公司, 北京前弘会计师事务所, 陕西德馨和美咨询服务有限公司, 太原中沃企业管理咨询有限公司, 山西中合汇生绩效管理咨询有限公司",138.81万,2026-06-22,山西 临汾
南宁市政府集中采购中心关于南宁市12345政务服务便民热线运营服务中标公告-集中采购项目,南宁市政务服务局,云上广西网络科技有限公司,222.4万,2026-06-22,广西 南宁
2026年海西州12345政务服务便民热线服务租赁项目（第二次）中标(成交)结果公告,海西蒙古族藏族自治州人民政府,中国移动通信集团青海有限公司,110万,2026-06-22,青海 海西
2026年海西州12345政务服务便民热线服务租赁项目（第二次）中标(成交)结果公告,海西蒙古族藏族自治州人民政府,中国移动通信集团青海有限公司,108.5万,2026-06-22,青海 海西
关于淳安县“12345”政务服务便民热线工作服务项目中标(成交)结果公告[浙江之信工程项目管理有限公司],中共淳安县委淳安县人民政府信访局,中国电信股份有限公司杭州分公司,599.91万,2026-06-18,浙江 杭州
大东区12345政务服务热线平台运行服务项目结果公告,沈阳市大东区营商环境建设事务服务中心,辽宁民心出版传媒有限公司,116.89万,2026-06-18,辽宁 沈阳
12345市长热线服务外包(2026-2029),绵阳市市长热线服务中心,"中国电信股份有限公司绵阳分公司, 中国电信股份有限公司分公司",645.6万,2026-06-18,四川 绵阳
葫芦岛市12345政务服务便民热线智能化升级服务项目结果公告,葫芦岛市数据中心,辽宁民心出版传媒有限公司,34.5万,2026-06-18,辽宁 葫芦岛
宜昌市12345热线调度中心调度及分析服务,宜昌市城市运行管理中心,宜昌三峡日报新媒体有限责任公司,137.65万,2026-06-17,湖北 宜昌
库尔勒市行政服务中心“12345”政务热线服务采购项目（四次）中标(成交)结果公告,库尔勒市行政服务中心,巴州英才人力资源服务有限公司,58万,2026-06-17,新疆 巴音郭楞
合肥市“12345”政务服务热线中心（市民声呼应热线服务中心）关于墨盒的网上超市采购项目成交公告,"合肥市""12345""政务服务热线中心",合肥林昂信息科技有限公司,0.02万,2026-06-17,安徽 合肥
中国电信股份有限公司成都分公司2026年某客户智慧运营服务采购项目（12345智能分析平台建设服务）直接采购公示,中国电信股份有限公司成都分公司,四川省商投信息技术有限责任公司,-,2026-06-17,四川 成都
合肥市为民服务中心12345热线业务用房改造项目施工,宣城市鑫林融资担保有限公司,安徽八方工程有限公司,-,2026-06-17,安徽 合肥
曲靖市城市运行管理与12345热线协同联动服务项目成交结果公告,曲靖市城市综合管理局,中国电信股份有限公司曲靖分公司,13.5万,2026-06-17,云南 曲靖
合肥市为民服务中心12345热线业务用房改造项目施工,合肥市为民服务中心,安徽八方工程有限公司,-,2026-06-17,安徽 合肥
开展丰台12345公众号运营服务项目成交结果公告,北京市丰台区城市管理指挥中心,黑钻石（北京）文化传媒股份有限公司,31.95万,2026-06-17,北京 北京
海城市公安局110接处警系统升级改造采购项目,海城市公安局,辽宁瑞和科技有限公司,276.51万,2026-06-16,辽宁 鞍山
